name,email,address,phone_number,birthdate
добродій Симон Ємець,artiukhvalentyna@nav4it.org,"вулиця Велика Садова, буд. 6, Дубровиця, 53000",+380 (15) 424-11-81,1960-08-09
Ярослава Скиба,ichumak@ukr.net,"провулок Виноградна 1-ша, буд. 547, Хотин, 12208",544-43-91,1991-06-15
Степан Колісниченко,leonid29@nav4it.org,"шосе Академіка Векслера, буд. 60, Вільногірськ, 80690",042-23-37,1982-05-12
Шаповал Дан Яремович,tnesterenko@ukr.net,"шосе Болградська, буд. 695, Рудки, 48373",+380 (62) 314-04-87,1966-03-16
Анжела Андрійчук,taras09@nav4it.org,"провулок Кустанайська, буд. 60, Рогатин, 27180",+380 (35) 177-94-17,2007-04-23
Алла Бабій,liubov40@ukr.net,"площа Політкаторжан, буд. 3, Ізмаїл, 98974",+380 (36) 109-25-82,1995-03-24
Аніта Власюк,omelianhavrysh@gmail.com,"сквер Бориса Кифоренка, буд. 167 кв. 17, Вараш, 97982",053 926 40 16,1999-01-27
Єва Яценко,tiahnybokievhen@nav4it.org,"площа Новощіпний ряд, буд. 5 кв. 18, Хмільник, 60045",079-09-58,1981-05-25
Єлисей Тимчук,jsymonenko@ukr.net,"набережна Бориса Дерев'янка, буд. 892, Обухів, 53807",+380 77 288-16-90,2004-05-10
Марʼяна Шведченко,bohdanhuzenko@ukr.net,"шосе Десята, буд. 5 кв. 3, Хоростків, 66587",+380 30 004-09-81,1979-05-02
Лукʼян Запорожець,uzabarnyi@nav4it.org,"шосе Вершинна, буд. 244, Покров, 98155",+380 97 610-74-53,1967-07-05
Кирило Іващенко,zavramchuk@nav4it.org,"набережна Географічний, буд. 3, Ямпіль, 41070",166-22-77,1979-08-17
Михайло Швачка,oksanafastenko@ukr.net,"проспект Пісочний, буд. 275 кв. 26, Бахмут, 71511",+380 (60) 322-22-07,1961-08-22
Розалія Гавриленко,tkachievhen@ukr.net,"провулок Рівності 2-й, буд. 7 кв. 04, Городня, 51295",+380 09 069 31 43,1972-07-17
пані Алла Свириденко,shevchenkorozaliia@ukr.net,"провулок Незалежності, буд. 3 кв. 0, Зміїв, 10795",339-75-94,1993-08-12
пан Варфоломій Лавренко,nehodahavrylo@nav4it.org,"сквер Кавказький, буд. 545 кв. 266, Славутич, 96068",+380 08 902-02-27,1989-11-26
пані Емілія Затула,petro03@nav4it.org,"узвіз Різдвяна, буд. 8, Олександрівськ, 03851",037-23-29,1962-05-01
Червоненко Любов Семенівна,stanislaviurchuk@ukr.net,"проспект Вчительської, 2-й, буд. 27 кв. 615, Тернопіль, 86734",975 74 61,1961-07-18
Варвара Рева,bbevz@nav4it.org,"проспект Миколи Савича, буд. 24, Гуляйполе, 25846",+380 27 795-09-92,1987-05-31
Франц Токар,asvyrydenko@gmail.com,"площа Чорничний, буд. 6, Яремче, 15888",829 25 82,1961-01-23
Богданна Вакарчук,ievhen96@ukr.net,"сквер Каштанова, буд. 874 кв. 385, Ялта, 56394",+380 72 430-96-84,2004-03-27
Емілія Чміль,hvivcharenko@ukr.net,"набережна В’ячеслава Чорновола, буд. 57 кв. 00, Тараща, 49366",077 953-17-99,1973-12-26
Емілія Гоголь,semenavdieienko@nav4it.org,"вулиця Камишова, буд. 688 кв. 160, Вишневе, 57082",041 566 27 44,1992-09-11
Пріска Сімашкевич,korbutomelian@nav4it.org,"набережна Десята, буд. 3, Алчевськ, 26831",+380 84 797-90-34,1972-10-12
Феофан Жук,myroslav77@nav4it.org,"парк Коцюбинського, буд. 622, Олешки, 15436",059 769-61-41,1980-01-13
Ярослава Іщак,okhrim71@gmail.com,"площа Наявний 6-й, буд. 046 кв. 0, Шепетівка, 24466",296-19-59,2004-06-11
Юстим Юрчук,schmil@ukr.net,"провулок Кришталева, буд. 66, Белз, 55280",675 38 38,1974-07-31
Симон Ляшко,larysa74@nav4it.org,"сквер Регенсбург, буд. 6 кв. 04, Бахчисарай, 79242",+380 91 985 06 75,1970-01-27
Гліб Бабич,nikoliukvadym@ukr.net,"провулок Пастера, буд. 8, Новоукраїнка, 88006",677-11-94,2006-10-07
Пармен Фаренюк,akonoplenko@nav4it.org,"парк Жаботинського, буд. 5 кв. 5, Снятин, 93269",516-84-73,1991-03-02
Олександр Абрамчук,havrylo90@ukr.net,"площа Херсонський сквер, буд. 4, Болград, 32936",777-76-73,1971-07-21
Єлисавета Андрощук,pylyp52@nav4it.org,"вулиця 9-та Лінія Дачі Ковалевського, буд. 57 кв. 240, Снігурівка, 21894",+380 (66) 507-25-21,1962-09-22
пан Климент Лазаренко,vyshniakihor@ukr.net,"сквер Дубова, буд. 30 кв. 4, Попасна, 79912",012 707 62 71,1984-11-09
Тетяна Луценко,chekaliukvioletta@nav4it.org,"проспект Варненська, буд. 824, Феодосія, 11757",050 35 87,1973-06-27
Станіслав Непорожній,iaremenkoaaron@nav4it.org,"провулок Польська, буд. 318 кв. 755, Хрустальний, 71401",093 629 82 53,1967-01-09
Оксана Лагода,milenapryimak@ukr.net,"площа 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 636, Вишневе, 07730",+380 (68) 505-62-46,1966-06-21
Святослав Засуха,spassomko@nav4it.org,"парк Олександра Болдирєва, буд. 3 кв. 2, Умань, 66102",+380 (17) 130-79-46,1991-01-09
Ярослав Шевченко,stetsanastasiia@gmail.com,"вулиця Машинобудівний, буд. 646, Дубляни, 02752",+380 (40) 556-52-55,1981-09-13
Пантелеймон Євтушок,amaliia48@ukr.net,"парк Платанова, буд. 454, Путивль, 78812",027 166-95-57,1983-08-18
Демʼян Перебийніс,skorykspas@ukr.net,"площа Чорноморський 5-й, буд. 6 кв. 141, Монастирище, 30249",015 944 73 52,2000-04-03
Тереза Засенко,makarprotsenko@gmail.com,"провулок Адміральський, буд. 2, Скадовськ, 03596",+380 (02) 740-62-46,2006-05-22
Галина Дрозденко,tdanyliuk@gmail.com,"набережна Саймона Літмана, буд. 723 кв. 4, Білогірськ, 19165",+380 (67) 674-06-91,2007-04-13
пані Лариса Фартушняк,galaganpetro@gmail.com,"парк Маланова, буд. 716, Іловайськ, 03025",+380 34 441 79 03,1961-04-28
Амалія Лупій,cherinkozorian@nav4it.org,"набережна Максима Чайки, буд. 757 кв. 10, Гадяч, 35446",+380 54 835 16 81,1973-08-22
Софія Фурс,valerii76@nav4it.org,"проспект Мазепи Івана, буд. 06, Приморськ, 95625",128-99-66,1996-12-22
Гавриш Камілла Макарівна,kolesnychenkohlib@gmail.com,"сквер Ф. Пішеніна, буд. 811 кв. 07, Знам'янка, 16478",005 915 90 56,1970-06-03
Тетяна Вакарчук,abramenkoprokhir@gmail.com,"провулок Леся Курбаса, буд. 4, Феодосія, 01468",+380 35 724 13 54,1980-05-21
Ілля Арсенич,stefantytarenko@ukr.net,"провулок Колективний, буд. 9 кв. 643, Щастя, 26640",020 831-02-01,1998-06-21
Стефан Удовиченко,oleksavlasenko@gmail.com,"набережна Гайова, буд. 87, Чуднів, 17772",083 434-30-69,1990-09-02
Петлюра Семен Єфремович,leontii37@ukr.net,"сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 2, Чистякове, 77688",122-41-71,2004-02-26
Леопольд Дубина,pylyp77@nav4it.org,"проспект Санаторний, буд. 9 кв. 7, Гнівань, 27177",+380 59 047-56-82,1976-07-27
пані Аліна Бабариченко,orysia47@ukr.net,"проспект Карантинна, буд. 419, Яворів, 60079",+380 35 531-44-55,1970-03-16
Святослава Алексеєнко,les87@ukr.net,"проспект Гілельса, буд. 010 кв. 0, Костопіль, 17410",317-78-98,1971-10-23
Світлана Шовкопляс,dakhnostepan@gmail.com,"площа Ватманський, буд. 7, Лисичанськ, 98881",007 129-68-77,2002-04-07
Емілія Хорішко,veniiamynzaika@gmail.com,"набережна Перша, буд. 534, Берегове, 38589",482-50-69,1968-12-02
Анжела Худобʼяк,iarynakhrystenko@ukr.net,"набережна Басейний 1-й, буд. 470 кв. 912, Кропивницький, 59138",611-45-60,2000-03-16
Владислав Алексюк,vskyba@ukr.net,"проспект Листяна, буд. 40 кв. 50, Рогатин, 41188",000 589-73-76,1992-11-20
Геннадій Заїка,nruban@nav4it.org,"шосе Училищна, буд. 8, Золотоноша, 90145",094 909-23-47,1964-10-29
пані Галина Чарниш,danyloieromenko@gmail.com,"площа Монгольська, буд. 746, Винники, 96513",704 32 05,1975-04-06
Людмила Лисенко,roksolana03@gmail.com,"провулок Західний 3-й, буд. 7 кв. 782, Прип'ять, 03569",+380 (45) 006-01-57,1998-12-11
Вітер Едита Русланівна,veresmarusia@nav4it.org,"шосе Нафтовиків, буд. 262, Сміла, 28510",021 563 73 02,1960-02-20
Чуприна Аарон Гордійович,stepanbandura@gmail.com,"площа Мукачівський, буд. 998, Черкаси, 54142",224 96 92,1967-06-14
Гузенко Анастасія Данівна,havryletskhoma@ukr.net,"провулок Братів Малакових, буд. 54 кв. 01, Феодосія, 58806",+380 13 093-98-92,1993-02-25
Марʼяна Уманець,ada14@gmail.com,"вулиця Шостої 1-й, буд. 48 кв. 474, Очаків, 23535",015 953-30-65,1972-11-16
Ігнат Ковалюк,hlibturkalo@ukr.net,"сквер Середня, буд. 6, Заставна, 62820",958 46 92,1975-12-01
пані Ірина Штокало,rbalaban@gmail.com,"сквер Матроський, буд. 704 кв. 80, Ананьїв, 65662",+380 71 068-78-83,1990-02-12
Лукʼян Черінько,spaspryimak@nav4it.org,"провулок Молоді, буд. 95 кв. 8, Волочиськ, 21560",+380 99 886 59 13,1992-02-08
Еріка Журба,ebaranyk@nav4it.org,"проспект Скляний 1-й, буд. 606, Ніжин, 81893",048 738 46 31,1967-12-24
Борис Сагаль,mykhailyna44@nav4it.org,"парк Професора Коровицького, буд. 50, Заводське, 16218",916-80-79,1976-10-23
Емілія Петлюра,danylenkovalentyn@nav4it.org,"парк Грушева, буд. 250, Вовчанськ, 80346",087 039 54 61,1965-11-17
Богуслава Хомик,stefanvitruk@ukr.net,"вулиця Балтський 3-й, буд. 78 кв. 9, Знам'янка, 95435",+380 (57) 444-28-75,1976-12-13
Юстина Єфименко,zakharbabiuk@gmail.com,"парк Лінія 44-та, буд. 72, Охтирка, 37234",+380 24 685-89-85,2000-09-19
Євген Іващенко,olenaisaienko@ukr.net,"провулок Шкільний аеродром, буд. 543, Барвінкове, 72562",865 24 92,1980-11-16
пан Нестор Іванченко,valeriiilienko@nav4it.org,"сквер Чорноморський, буд. 09 кв. 0, Куп'янськ, 52035",+380 (76) 566-39-50,1986-12-27
Єлисей Свириденко,shmorhunarsen@gmail.com,"шосе Академічна, буд. 254, Берестечко, 51994",+380 10 805 94 49,1982-03-17
Феофан Яковенко,rostyslav78@ukr.net,"вулиця Добровольців, буд. 152, Новоазовськ, 61244",084 257-96-36,1972-10-15
Ада Іщак,shcherbakpavlo@ukr.net,"провулок Бузковий 1-й, буд. 0, Горішні Плавні, 20340",+380 63 726-60-64,1987-12-15
Костянтин Семенченко,edyta85@ukr.net,"шосе Каркашадзе, буд. 3 кв. 204, Моршин, 57707",444-59-52,1960-01-14
Михайло Вишиваний,fartushniakleopold@ukr.net,"провулок Світанку, буд. 5, Черкаси, 13120",059 76 43,1990-04-26
Климент Гаєвський,vasylenkoboleslav@ukr.net,"провулок Миколи Бажана, буд. 6 кв. 04, Новоукраїнка, 87863",079 819-96-12,1959-07-28
Ростислав Іщенко,idavymuka@gmail.com,"парк 15-та ст. Великого Фонтану пляж, буд. 650 кв. 8, Вугледар, 66156",813 01 65,2003-07-13
пан Лесь Нестайко,kostiantynbabii@nav4it.org,"площа Олександра Богомольця, буд. 93, Дніпро, 31547",030 643-33-81,1991-10-22
Христина Базилевська,nsalii@gmail.com,"вулиця Наявний 2-й, буд. 618 кв. 702, Новогродівка, 10242",839 92 40,1965-08-22
Оксана Макаренко,ivan29@gmail.com,"вулиця 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 01 кв. 486, Хмільник, 89786",+380 83 499-27-52,1991-02-05
Асаула Назар Хомович,hermanbezditko@nav4it.org,"провулок Кастуся Калиновського, буд. 4, Берегове, 87836",859 60 55,1980-05-26
пані Камілла Доценко,shvachkosnizhana@ukr.net,"провулок Бузковий 2-й, буд. 49 кв. 9, Коростень, 29211",+380 11 920-83-58,2006-09-04
Йосип Аврамчук,demyd19@gmail.com,"проспект Івахненка Петра, буд. 9 кв. 767, Апостолове, 58943",400-41-92,1997-09-10
Василина Гоголь,bzubko@ukr.net,"узвіз Сашка Хорошенка, буд. 1 кв. 0, Яготин, 95782",+380 79 560-77-64,1983-03-07
Остап Нестайко,llupii@gmail.com,"сквер Кришталева, буд. 2, Нова Каховка, 81859",+380 79 725 16 43,1965-07-22
Вʼячеслав Зубко,solomiiademianiuk@nav4it.org,"провулок Житомирська, буд. 20 кв. 8, Куп'янськ, 54776",+380 (38) 935-72-92,1999-09-25
добродій Гаврило Затовканюк,ubandurka@ukr.net,"провулок Побратимів, буд. 051, Середина-Буда, 06559",079 685 35 22,1976-03-16
Алевтин Безбородько,myroslavandriishyn@gmail.com,"провулок Угорська, буд. 914, Дніпро, 28076",805-46-72,2004-02-13
Ярослав Гаврилишин,emiliia86@ukr.net,"набережна Кривобалківська, буд. 8 кв. 42, Вишгород, 17523",460 67 48,1979-03-23
Ліза Чубай,zynovii58@nav4it.org,"сквер Рівності, буд. 828, Богодухів, 70438",709 42 36,1993-06-29
Оксана Носаченко,svasylevych@ukr.net,"проспект Хаджибейський, буд. 169, Ровеньки, 37959",800-91-36,1966-11-18
Лілія Верменич,pshylo@ukr.net,"вулиця Климовича, буд. 738, Вашківці, 03131",+380 61 020 57 55,2001-02-21
пані Сніжана Колісниченко,tsisykhalyna@nav4it.org,"проспект Восьмого березня, буд. 55, Сторожинець, 39083",+380 (77) 203-04-96,1970-06-11
пані Тетяна Єрмоленко,romanilchenko@gmail.com,"проспект Новосельского, буд. 27 кв. 85, Маріуполь, 94769",+380 52 905-38-34,1992-08-21
Станіслав Корпанюк,ihororlyk@nav4it.org,"шосе Тупиковий 1-й, буд. 176, Ровеньки, 70925",+380 84 896-25-66,1970-07-02
Михайло Гаврилюк,amvrosiidarahan@ukr.net,"узвіз 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 558, Дубровиця, 99135",035 737 61 56,1973-04-23
Зиновій Рябовіл,leonid59@nav4it.org,"шосе Високий, буд. 436, Овруч, 17542",065 994-46-36,1984-08-01
Зорян Негода,pzasukha@gmail.com,"набережна Мелітопольська, буд. 89, Старобільськ, 59900",+380 (26) 331-05-40,1986-12-23
Василина Гаврилюк,hanna36@ukr.net,"площа Мала Арнаутська, буд. 950, Джанкой, 57143",+380 23 844 60 29,2001-06-22
Ігор Удовиченко,sviatoslavvermenych@ukr.net,"узвіз Травневий 3-й, буд. 120 кв. 60, Щолкіне, 92267",+380 (14) 551-40-92,2005-11-02
Оксенія Тягнибок,lemeshkospas@ukr.net,"проспект Сухолиманна, буд. 5 кв. 814, Калуш, 44744",963 61 20,1989-08-02
Ярина Василевич,adamchukiaroslava@ukr.net,"провулок Тіниста, буд. 775 кв. 326, Фастів, 55432",870 97 73,1970-07-19
Олесь Абраменко,vadymhres@ukr.net,"вулиця Давида Бурлюка, буд. 47, Теребовля, 22088",+380 80 296 05 31,1975-04-12
панна Ганна Литвиненко,haidairostyslav@nav4it.org,"проспект Тупиковий, буд. 0, Бахмут, 08923",898-21-01,2003-01-12
Анастасія Петренко,irynaartiukh@gmail.com,"проспект Ф. Пішеніна, буд. 5 кв. 9, Зборів, 16055",+380 86 761 98 25,2000-04-23
Мілена Верес,ostapiemets@ukr.net,"сквер Олександра Станкова, буд. 079, Зимогір'я, 63613",004 814-23-66,1967-01-25
Алевтин Вернидуб,iesypenkoada@nav4it.org,"узвіз Героїв прикордонників, буд. 327, Путивль, 09107",+380 55 305 90 17,2002-01-19
Ростислав Прокопович,mykhailopalii@gmail.com,"проспект Гвоздичний, буд. 1, Вознесенівка, 36438",+380 93 322 58 81,1999-07-28
Ольга Баранник,bohuslava50@ukr.net,"провулок Тепличний 2-й, буд. 0, Петрово-Красносілля, 13292",+380 92 223 93 59,1981-03-16
Федір Акименко,iakivbabiichuk@nav4it.org,"сквер Зої Пасічної, буд. 589 кв. 038, Антрацит, 94813",+380 (02) 851-47-54,1978-03-20
Богданна Негода,ybabenko@ukr.net,"шосе Незалежності, буд. 07 кв. 654, Ворожба, 82180",+380 (50) 522-80-10,1977-08-18
Остап Дубина,sviatoslav87@ukr.net,"площа Луцька, буд. 51, Вашківці, 58979",+380 09 928-84-64,1973-01-26
Анжела Оліфіренко,levkooberemko@ukr.net,"парк Сергія Ядова, буд. 65, Яремче, 12379",+380 28 394-47-96,2000-03-27
Орхип Шведченко,aostapchuk@nav4it.org,"узвіз Садовий, буд. 201 кв. 43, Хотин, 15775",323 97 31,1973-02-13
Сніжана Яременко,ievakomar@gmail.com,"набережна Василя Фащенка, буд. 218, Зеленодольськ, 54037",563-58-43,1961-06-15
Борислав Сімашкевич,adamfareniuk@nav4it.org,"площа Аграрна, буд. 81 кв. 115, Лубни, 51301",475-62-22,1994-11-18
Оксана Стельмах,oadamenko@ukr.net,"площа Хвиляста, буд. 31, Золотоноша, 02993",083-05-93,1969-05-13
Ада Чередник,danyloumanets@gmail.com,"провулок Миколаївський 1-й, буд. 21, Деражня, 21018",486-40-12,1974-06-10
Вікторія Бевз,chumakvioletta@nav4it.org,"сквер Лінія 42-га, буд. 44 кв. 1, Люботин, 62804",129 43 58,1980-03-14
Жайворон Ярема Симонович,martyn03@nav4it.org,"проспект Прокатна, буд. 7 кв. 242, Кривий Ріг, 45004",019 59 37,1960-05-19
Тимофій Данько,semen69@ukr.net,"провулок Рішельєвська, буд. 8 кв. 70, Почаїв, 87013",082 915-41-69,1966-03-16
Орина Баранець,stuspylyp@nav4it.org,"сквер Одеса-Головна, буд. 25 кв. 62, Луцьк, 97272",344 49 69,1998-05-11
Анастасія Іщенко,cdeineka@ukr.net,"провулок Юннатів, буд. 6, Жмеринка, 54535",223 26 18,1972-12-25
Гордій Батіг,hsmyk@gmail.com,"вулиця Соляний 2-й, буд. 990, Ківерці, 11953",+380 29 300-60-75,1993-02-14
Симон Михайличенко,khorishkoamvrosii@gmail.com,"вулиця Курортний, буд. 712 кв. 76, Генічеськ, 59766",+380 (87) 064-50-82,1971-03-20
Юхим Хомик,bohuslavpelekh@ukr.net,"парк Глаубермана, буд. 0, Ніжин, 46988",+380 68 636-75-48,1998-01-16
Тетяна Василевич,diakovenko@nav4it.org,"узвіз Миколаївська дорога, буд. 35, Харків, 78494",+380 36 717 32 58,2005-03-10
добродій Костянтин Малишко,vashchenkoprokhir@gmail.com,"шосе Офіцерський 1-й, буд. 2, Чугуїв, 46215",076 911-51-18,1988-11-01
пан Леон Ірванець,gbaidak@nav4it.org,"шосе Купріна, буд. 283, Монастирище, 02195",+380 60 214-20-27,1979-05-20
Амвросій Канівець,kabanenkoalla@gmail.com,"площа Басейний 6-й, буд. 828 кв. 77, Одеса, 49546",037 412-98-26,1973-03-06
Марта Адамчук,wprymachenko@ukr.net,"вулиця Наявний 4-й, буд. 57, Баштанка, 16585",030 509 76 80,1964-12-07
Геннадій Устенко,bohuslavaiaremenko@ukr.net,"сквер Кришталева, буд. 548, Любомль, 93177",+380 20 291 00 82,2001-09-16
Галина Івасюк,trokhymiakovenko@ukr.net,"провулок Манежна, буд. 2 кв. 089, Сторожинець, 08680",+380 (64) 673-42-10,1992-08-17
Яків Журба,hlavrenko@ukr.net,"проспект Училищна, буд. 47 кв. 3, Полтава, 87927",+380 93 585 64 61,1963-10-04
Марія Тиха,frants75@ukr.net,"проспект Сергія Ейзенштейна, буд. 1, Васильків, 03321",734-54-68,1959-10-17
Оксенія Конопленко,lutsenkohennadii@gmail.com,"парк Миколи Міхновського, буд. 11 кв. 56, Балаклія, 25702",634 39 06,1962-04-25
Пріска Александренко,zinchukpriska@gmail.com,"площа Республіканська, буд. 0, Хоростків, 81636",034 836-72-67,1976-02-09
Олесь Оберемко,zaleksandrenko@nav4it.org,"сквер Лиманчик 2-й Лінія 8-ма, буд. 75, Барвінкове, 35835",005 302-28-39,1976-01-28
Наталія Ковалюк,artem30@ukr.net,"набережна Заводська 1-ша, буд. 064, Ланівці, 76541",+380 75 681-46-39,1998-01-22
Мілена Кибкало,lahodaielysaveta@nav4it.org,"провулок Олександра Кутузакія, буд. 890 кв. 3, Корюківка, 26472",416-67-08,1961-02-21
Арсенич Тарас Азарович,wishchak@ukr.net,"вулиця Мельницька, буд. 7, Мар'їнка, 62607",+380 83 096 47 04,1988-09-18
Роксолана Полтавець,cdanyliuk@nav4it.org,"проспект Музична, буд. 2 кв. 0, Чорноморськ, 83983",010 060 17 52,2002-05-05
Руслан Бакуменко,zakusylolarysa@nav4it.org,"провулок Лінійна, буд. 6, Євпаторія, 48258",071 158 98 03,1959-12-29
Роксолана Зінченко,fprytula@nav4it.org,"парк Кавунова, буд. 628 кв. 5, Тульчин, 68481",+380 56 191-26-51,1964-03-05
Соломія Лагода,khoma53@ukr.net,"сквер Михайла Жука, буд. 2, Златопіль, 37952",+380 (65) 443-95-68,1976-05-19
Юхим Корпанюк,medvedenkoparmen@gmail.com,"парк Кавказька, буд. 109 кв. 487, Очаків, 13195",+380 82 111 48 73,1998-04-23
пані Розалія Шутько,shabliipanteleimon@ukr.net,"узвіз Мостовий, буд. 990 кв. 00, Бахмач, 30692",+380 (80) 054-79-95,1979-04-11
Богодар Гаврилишин,miroshnychenkomariana@ukr.net,"сквер Мельницька, буд. 4, Бахмут, 68537",+380 09 584-49-39,1992-03-13
Єва Шевченко,ievdokymenkoveniiamyn@ukr.net,"сквер Карантинний узвіз, буд. 60, Роздільна, 55124",+380 78 913-10-00,1977-12-27
Вобла Юстина Борисівна,bohdan39@gmail.com,"набережна Чорноморський 7-й, буд. 0, Очаків, 01863",054 600-32-72,1983-08-23
пан Василь Гуцуляк,umalyk@ukr.net,"шосе Прохоровський, буд. 51 кв. 1, Боярка, 96319",022 327-55-26,1972-05-23
Симон Алексеєнко,yderkach@gmail.com,"площа Бітумна, буд. 825 кв. 18, Ясинувата, 80718",+380 09 776-06-83,1991-03-14
Вʼячеслав Негода,aarontereshchenko@nav4it.org,"парк Іподромний, буд. 9, Новогродівка, 78346",035 37 20,1996-09-15
Борислав Онищенко,emiliiadakhno@ukr.net,"площа Ювілейний 1-й, буд. 465 кв. 9, Пологи, 30471",074 459 08 07,1985-08-12
Емілія Самойленко,arsenychvladyslav@nav4it.org,"провулок Панаса Мирного, буд. 95, Березівка, 88969",405-94-40,1998-07-02
Ілля Чумак,nataliia81@nav4it.org,"шосе Шевченка парк, буд. 206 кв. 1, Ромни, 84551",010 537-79-11,1994-07-02
Алла Франко,mykhailobabiuk@nav4it.org,"шосе Ігоря Бедзая, буд. 97, Луганськ, 94519",+380 36 754-05-02,1968-02-24
Чаленко Тарас Олегович,atroshchenkoavrelii@nav4it.org,"вулиця Аеродромний 3-й, буд. 8 кв. 0, Миколаїв, 34844",596-94-01,1988-01-19
Євген Шинкаренко,opanas71@ukr.net,"вулиця Давида Ойстраха, буд. 93, Новодністровськ, 93840",+380 63 879-02-55,2004-09-05
Артем Дубенко,lytvyntymofii@nav4it.org,"провулок Бригадна, буд. 57, Турка, 19323",026 691 18 71,1997-01-04
Охрім Їжак,okseniiatymchuk@gmail.com,"проспект Дальня, буд. 6 кв. 47, Куп'янськ, 63520",044 607-12-43,2007-05-17
Цушко Аарон Трохимович,prytulanadiia@nav4it.org,"провулок 6-та Лінія Марії Демченко, буд. 22 кв. 94, Чоп, 33462",190-69-32,1977-11-20
пан Веніямин Петренко,kylymnykoleh@ukr.net,"проспект Овідіопольський, буд. 04 кв. 0, Буринь, 05297",+380 23 915-09-25,2003-07-01
Олекса Нестеренко,dzhusalevtyn@gmail.com,"площа Стельмаха, буд. 274, Рахів, 54957",+380 78 828-60-23,1986-02-11
Герман Ґжицький,simashkevycholena@nav4it.org,"сквер Ігоря Кисельова, буд. 849, Лутугине, 50459",020 729-10-06,2000-09-08
Ірина Гаврилець,dmytrobhydenko@nav4it.org,"набережна Підйомний, буд. 84 кв. 64, Нікополь, 13758",+380 (36) 451-79-45,1968-10-05
Віолетта Бабʼюк,zorianbandera@gmail.com,"площа Родоканакі, буд. 14, Васильків, 98943",+380 (71) 238-87-80,1983-11-13
Ліза Годунок,zaikaanzhela@nav4it.org,"сквер Бахчева, буд. 850, Ровеньки, 45490",+380 (77) 340-60-69,1996-09-28
Симон Дзиндра,trokhymbevz@nav4it.org,"вулиця Дюківська, буд. 54, Берестин, 31588",+380 37 219-21-60,1986-01-03
Мілена Ісаєвич,shyianodarka@ukr.net,"набережна Газовий, буд. 193 кв. 8, Бровари, 43826",+380 58 762-04-25,2006-06-07
Єлисавета Дейнеко,frantsishchenko@ukr.net,"вулиця 2-й Академічний тупик, буд. 76 кв. 5, Богуслав, 70862",474 73 65,1963-05-30
Святослава Радченко,khoma36@nav4it.org,"парк Мазепи Івана, буд. 1 кв. 422, Моршин, 23799",+380 03 445 58 13,1994-11-05
Августин Макогон,rvashchuk@ukr.net,"вулиця Василя Кандинського 3-й, буд. 6 кв. 7, Бібрка, 72525",572 58 40,1983-11-19
пані Роксолана Гриценко,bohodar48@nav4it.org,"набережна Керченський 1-й, буд. 53 кв. 2, Апостолове, 02272",+380 (68) 385-62-67,1974-07-06
Едита Верхола,adamievdokymenko@nav4it.org,"узвіз Горизонтальна, буд. 90, Волноваха, 99511",+380 30 090 51 28,1968-06-18
Святослава Вергун,ytaran@ukr.net,"сквер Складська, буд. 302, Вилкове, 91903",+380 (47) 957-04-40,1999-04-07
Георгій Нестеренко,ievhen51@ukr.net,"шосе Восьмого березня 2-й, буд. 61, Петрово-Красносілля, 86823",873 45 54,1980-08-13
Софія Піддубна,freva@ukr.net,"площа Хімічний 1-й, буд. 334 кв. 166, Керч, 19009",+380 25 298-40-30,1959-07-22
Яків Гузь,chernenkozorian@nav4it.org,"набережна Водопровідний 2-й, буд. 530, Костопіль, 30538",426-56-03,1975-02-26
Валентин Атаманчук,voblyiiryna@gmail.com,"провулок Бейтельсбахера, буд. 54, Вишгород, 29475",+380 (88) 930-94-63,1991-03-30
Рева Олег Веніяминович,omelianzaiets@ukr.net,"набережна Лодочний, буд. 63, Пологи, 56589",+380 38 203 59 73,2001-05-15
Єлисавета Лазаренко,aorobets@gmail.com,"парк Братів Малакових, буд. 8 кв. 05, Снятин, 64971",+380 68 615-86-46,1996-07-24
Лариса Бабій,schaika@nav4it.org,"площа Університетський, буд. 9, Залізне, 18688",303 02 28,1977-03-23
Батюк Дарина Дмитріївна,derehusiakiv@ukr.net,"узвіз Сумська, буд. 15, Кагарлик, 44164",+380 (78) 296-31-29,1979-09-29
Вʼячеслав Архипенко,tverdokhlibamaliia@gmail.com,"площа Донецька, буд. 16, Лисичанськ, 44327",+380 (04) 657-23-41,2003-07-08
Демид Атаманюк,xbalaban@nav4it.org,"сквер Чорноморський 7-й, буд. 58 кв. 0, Кременчук, 36034",+380 96 875 98 37,1976-05-09
Степан Дурдинець,marusiabevz@ukr.net,"площа Деревообробний 4-й, буд. 870 кв. 4, Стрий, 97989",+380 (26) 209-91-75,1978-10-19
Одарка Сірченко,feofanmedvedenko@gmail.com,"шосе Лінійна, буд. 593, Старобільськ, 13085",033 801-27-38,1968-11-06
Христина Гресь,danylenkonestor@nav4it.org,"проспект Рибальська балка, буд. 094 кв. 1, Чуднів, 21988",937-76-71,2003-10-15
Роман Карпенко,teodorhrechko@ukr.net,"набережна Авангардна, буд. 7, Вижниця, 22457",+380 93 656 42 25,1966-02-20
Гліб Швачко,rriabets@ukr.net,"проспект Івана Луценка, буд. 8 кв. 58, Знам'янка, 05055",436 61 74,2003-09-25
